URL;LOKALIZACJA;NAGŁOWEK;CENA;CENA_M2;POWIERZCHNIA;POKOJE;PIĘTRO;RYNEK;RODZAJ_BUDYNKU;MATERIAŁ;OKNA;OGRZEWANIE;ROK_BUDOWY;STAN_WYKOŃCZENIA;CZYNSZ;FORMA_WŁASNOŚCI;MEDIA;ZABEZPIECZENIA;WYPOSAŻENIE;INFO_DODATKOWE;DZIELNICA;DOSTEPNE_OD
https://www.otodom.pl/oferta/komfortowe-bezposrednio-pod-lipami-niski-blok-ID3xrPZ.html#c7892253d3;Poznań, Winogrady, Pod Lipami 7;Komfortowe Bezpośrednio Pod Lipami niski blok;289000.0;7225.0;40.0;2;;wtórny;blok;cegła;plastikowe;miejskie;;do zamieszkania;300.0;pełna własność;['telewizja kablowa', 'internet'];['drzwi / okna antywłamaniowe', 'domofon / wideofon', 'rolety antywłamaniowe'];['lodówka', 'meble', 'pralka'];['piwnica'];Winogrady;26 Stycznia 2018
https://www.otodom.pl/oferta/wszedzie-blisko-funkcjonalne-piekne-mieszkanie-ID3nUSM.html#c7892253d3;Poznań;Wszędzie blisko - funkcjonalne, piękne mieszkanie!;362000.0;5028.0;72.0;4;1;wtórny;szeregowiec;cegła;plastikowe;gazowe;2018 ;do wykończenia;;pełna własność;['telewizja kablowa', 'internet', 'telefon'];['drzwi / okna antywłamaniowe', 'rolety antywłamaniowe'];;['garaż/miejsce parkingowe', 'ogródek', 'oddzielna kuchnia', 'taras', 'dwupoziomowe'];;
https://www.otodom.pl/oferta/mieszkanie-90m2-z-ogrodem-poznan-pokrzywno-ID2YGFU.html#c7892253d3;Poznań, Pokrzywno,  Żurawicka;Mieszkanie 90m2 z ogrodem ! POZNAŃ POKRZYWNO;399000.0;4433.0;90.0;3;;pierwotny;dom wolnostojący;pustak;plastikowe;gazowe;2015 ;do wykończenia;;pełna własność;;['system alarmowy', 'domofon / wideofon', 'monitoring / ochrona'];;['balkon', 'garaż/miejsce parkingowe', 'ogródek', 'taras', 'pom. użytkowe'];Pokrzywno;1 Czerwca 2016
https://www.otodom.pl/oferta/bezposrednio-4-pokoje-1-sze-pietro-balkon-ID3wbRu.html#c7892253d3;Poznań, Podolany,  Szarych Szeregów 20;BEZPOŚREDNIO, 4 pokoje, 1-sze piętro, balkon,;359900.0;6205.0;58.0;4;1;wtórny;blok;cegła;plastikowe;kotłownia;1970 ;do zamieszkania;450.0;pełna własność;;['domofon / wideofon'];['piekarnik', 'kuchenka'];['balkon', 'piwnica', 'garaż/miejsce parkingowe', 'oddzielna kuchnia', 'pom. użytkowe'];Podolany;25 Grudnia 2017
https://www.otodom.pl/oferta/super-apartament-pod-wynajem-centrum-ID3yvnl.html#c7892253d3;Poznań, Strzelecka;Super Apartament Pod Wynajem Centrum !!!;333996.0;7800.0;42.82;2;3;wtórny;kamienica;cegła;drewniane;miejskie;1900 ;do wykończenia;1.0;pełna własność;['telewizja kablowa', 'internet', 'telefon'];;;['piwnica', 'winda', 'oddzielna kuchnia'];;
https://www.otodom.pl/oferta/mieszkanie-63-10-m-poznan-ID3yvmz.html#c7892253d3;Poznań, Piątkowo, Osiedle Stefana Batorego;Mieszkanie, 63,10 m², Poznań;350000.0;5547.0;63.1;3;4;wtórny;blok;wielka płyta;plastikowe;;1993 ;;;;;;;['balkon'];Piątkowo;
https://www.otodom.pl/oferta/nowoczesny-apartament-chartowo-architekt-wnetrz-ID3uyoo.html#c7892253d3;Poznań, Chartowo, Lwa;Nowoczesny apartament Chartowo architekt wnętrz;499000.0;7677.0;65.0;3;1;wtórny;apartamentowiec;;;miejskie;;;;pełna własność;;['teren zamknięty', 'domofon / wideofon'];['lodówka', 'meble', 'pralka'];['balkon', 'garaż/miejsce parkingowe', 'winda'];Chartowo;
https://www.otodom.pl/oferta/szczepankowo-4-pokojowe-nowe-developerka-ID3qP5O.html#c7892253d3;Poznań, Szczepankowo;Szczepankowo 4 pokojowe nowe developerka;403600.0;4000.0;100.9;4;1;wtórny;blok;cegła;plastikowe;gazowe;2017 ;do wykończenia;;;;['drzwi / okna antywłamaniowe', 'teren zamknięty', 'domofon / wideofon'];;['balkon', 'garaż/miejsce parkingowe'];Szczepankowo;
https://www.otodom.pl/oferta/85-m2-szczepankowo-z-ogrodkiem-ID3tU2v.html#c7892253d3;Poznań, Szczepankowo,  spławie;85 m2 szczepankowo z ogródkiem;382500.0;4500.0;85.0;3;;pierwotny;;cegła;plastikowe;gazowe;2017 ;do wykończenia;;pełna własność;['telewizja kablowa', 'internet', 'telefon'];['drzwi / okna antywłamaniowe', 'teren zamknięty', 'rolety antywłamaniowe'];;['garaż/miejsce parkingowe', 'ogródek'];Szczepankowo;2 Listopada 2017
https://www.otodom.pl/oferta/9-45-zwrotu-rocznie-nowe-4-pokoje-inwestycyjnie-ID3uKnu.html#c7892253d3;Poznań, Winogrady;9,45% zwrotu rocznie. Nowe 4-pokoje inwestycyjnie;339958.0;5900.0;57.62;4;1;pierwotny;blok;;plastikowe;miejskie;2018 ;do wykończenia;350.0;;;['domofon / wideofon'];;['balkon', 'garaż/miejsce parkingowe', 'winda'];Winogrady;
https://www.otodom.pl/oferta/2-pokoje-prawie-40-m2-w-cenie-kawalerki-ID3xPrF.html#c7892253d3;Poznań, Naramowice;2 pokoje prawie 40 m2 w cenie kawalerki;214171.0;6100.0;35.11;2;;pierwotny;blok;cegła;plastikowe;miejskie;2019 ;do wykończenia;;pełna własność;['telewizja kablowa', 'internet', 'telefon'];['drzwi / okna antywłamaniowe', 'domofon / wideofon', 'monitoring / ochrona'];;['garaż/miejsce parkingowe', 'ogródek', 'winda'];Naramowice;
https://www.otodom.pl/oferta/4-pokoje-na-naramowicach-idealne-pod-wynajem-ID3xPN5.html#c7892253d3;Poznań, Naramowice;4 pokoje na Naramowicach, Idealne pod wynajem;307026.0;5550.0;55.32;4;4;pierwotny;blok;cegła;plastikowe;miejskie;2019 ;do wykończenia;;pełna własność;['telewizja kablowa', 'internet', 'telefon'];['drzwi / okna antywłamaniowe', 'teren zamknięty', 'domofon / wideofon'];;['balkon', 'garaż/miejsce parkingowe'];Naramowice;
https://www.otodom.pl/oferta/mieszkanie-44-26-m-poznan-ID3vUnZ.html#c7892253d3;Poznań, Wilda, Antoniego Józefa Madalińskiego;Mieszkanie, 44,26 m², Poznań;255000.0;5761.0;44.26;2;2;wtórny;kamienica;cegła;plastikowe;gazowe;1930 ;do zamieszkania;250.0;pełna własność;['telewizja kablowa', 'internet', 'telefon'];;;['piwnica', 'pom. użytkowe'];Wilda;
https://www.otodom.pl/oferta/przestronna-kawalerka-z-duza-kuchnia-ID3yvdl.html#c7892253d3;Poznań, Grunwald, Rynarzewska;Przestronna kawalerka, z dużą kuchnią;225000.0;5769.0;39.0;1;6;wtórny;;;;;1969 ;;300.0;spółdzielcze wł. z KW;;;;;Grunwald;
https://www.otodom.pl/oferta/po-remoncie-od-zaraz-winogrady-ID3yvdh.html#c7892253d3;Poznań, Winogrady, Osiedle Przyjaźni;Po remoncie, od zaraz, Winogrady;330000.0;6168.0;53.5;3;1;wtórny;blok;wielka płyta;plastikowe;miejskie;1975 ;do zamieszkania;605.0;spółdzielcze własnościowe;['telewizja kablowa', 'internet', 'telefon'];['drzwi / okna antywłamaniowe', 'domofon / wideofon'];['zmywarka', 'lodówka', 'meble', 'kuchenka', 'pralka'];['balkon', 'piwnica', 'garaż/miejsce parkingowe', 'oddzielna kuchnia'];Winogrady;
https://www.otodom.pl/oferta/funkcjonalne-po-remoncie-w-b-dobrej-loalizacji-ID3yvaf.html#c7892253d3;Poznań, Rataje,  Oświecenia;Funkcjonalne, po remoncie, w b. dobrej loalizacji;349000.0;6017.0;58.0;3;10;wtórny;blok;wielka płyta;drewniane;miejskie;1979 ;do zamieszkania;650.0;spółdzielcze wł. z KW;['telewizja kablowa', 'internet', 'telefon'];['drzwi / okna antywłamaniowe', 'domofon / wideofon'];;['balkon', 'piwnica', 'winda', 'oddzielna kuchnia'];Rataje;
https://www.otodom.pl/oferta/mieszkanie-95-m-poznan-ID3yv2n.html#c7892253d3;Poznań, Katowicka os. Polanka Ataner;Mieszkanie, 95 m², Poznań;669000.0;7042.0;95.0;4;;wtórny;apartamentowiec;cegła;;inne;2006 ;do zamieszkania;;pełna własność;;;;['balkon', 'winda'];;
https://www.otodom.pl/oferta/bez-posrednikow-wysoki-standard-do-zamieszkania-ID3gmOO.html#c7892253d3;Poznań, Grunwald, Smardzewska;BEZ POŚREDNIKÓW! WYSOKI STANDARD. DO ZAMIESZKANIA!;488000.0;6971.0;70.0;3;3;wtórny;blok;cegła;plastikowe;miejskie;2008 ;do zamieszkania;500.0;pełna własność;['telewizja kablowa', 'internet'];['domofon / wideofon', 'monitoring / ochrona', 'rolety antywłamaniowe'];['zmywarka', 'lodówka', 'meble', 'piekarnik', 'kuchenka'];['balkon', 'garaż/miejsce parkingowe', 'oddzielna kuchnia'];Grunwald;
https://www.otodom.pl/oferta/mieszkanie-poznan-winogrady-ul-slowianska-171m2-ID3uFXi.html#c7892253d3;Poznań, Winogrady,  Słowiańska;Mieszkanie Poznań Winogrady ul. słowiańska 171m2;1100000.0;6437.0;170.9;5;4;wtórny;blok;cegła;plastikowe;miejskie;1995 ;do zamieszkania;500.0;pełna własność;['telewizja kablowa', 'internet', 'telefon'];['drzwi / okna antywłamaniowe', 'domofon / wideofon'];['zmywarka', 'lodówka', 'piekarnik', 'kuchenka', 'pralka'];['balkon', 'taras', 'pom. użytkowe'];Winogrady;
https://www.otodom.pl/oferta/rataje-3-pokoje-z-balkonem-ID3ywKL.html#c7892253d3;Poznań, Rataje;Rataje 3 pokoje z balkonem;369000.0;4777.0;77.25;3;;wtórny;blok;;plastikowe;;1970 ;;800.0;;;;;['balkon', 'winda'];Rataje;
https://www.otodom.pl/oferta/mieszkanie-poznan-smochowice-ID3xLFN.html#af876b5410;Poznań, Smochowice, Sianowska 36   C;Mieszkanie - Poznań Smochowice;620000.0;4564.0;135.84;4;1;pierwotny;apartamentowiec;;;gazowe;2018 ;do wykończenia;;pełna własność;;['domofon / wideofon', 'rolety antywłamaniowe'];;['piwnica', 'garaż/miejsce parkingowe', 'ogródek', 'taras'];Smochowice;
https://www.otodom.pl/oferta/piekne-funkcjonalne-mieszkanie-wszedzie-blisko-ID3nB5y.html#af876b5410;Poznań;Piękne, funkcjonalne mieszkanie -wszędzie blisko !;362000.0;5028.0;72.0;4;1;wtórny;szeregowiec;cegła;plastikowe;gazowe;2018 ;do wykończenia;;pełna własność;['telewizja kablowa', 'internet', 'telefon'];['drzwi / okna antywłamaniowe', 'rolety antywłamaniowe'];;['garaż/miejsce parkingowe', 'ogródek', 'oddzielna kuchnia', 'taras', 'dwupoziomowe'];;
https://www.otodom.pl/oferta/gotowy-do-wykonczenia-dom-poznan-plewiska-ID3vRZd.html#af876b5410;Poznań,  Grunwaldzka  / Fabianowska;Gotowy do wykończenia Dom Poznań Plewiska;464000.0;3772.0;123.0;6;;pierwotny;szeregowiec;cegła;plastikowe;gazowe;2018 ;do wykończenia;;pełna własność;['telewizja kablowa', 'internet', 'telefon'];['system alarmowy', 'drzwi / okna antywłamaniowe'];;['balkon', 'garaż/miejsce parkingowe', 'ogródek', 'taras', 'dwupoziomowe'];Grunwald;1 Stycznia 2018
https://www.otodom.pl/oferta/villa-venecja-komfort-w-centrum-miasta-ID3j62a.html#af876b5410;Poznań, Centrum,  Wenecjańska;VILLA VENECJA - KOMFORT W CENTRUM MIASTA;;;;277761;;;;;;;;;;;;;;['teren zamknięty', 'winda', 'garaż', 'ogródek', 'ochrona', 'tarasy'];;
https://www.otodom.pl/oferta/3-pokoje-54m2-wysoki-standard-ID3xpOw.html#af876b5410;Poznań, Jeżyce, Biskupińska ,Strzeszyn;3 Pokoje 54m2 Wysoki standard;329000.0;6093.0;54.0;3;4;wtórny;blok;cegła;plastikowe;miejskie;;do zamieszkania;;pełna własność;;['domofon / wideofon'];['meble', 'piekarnik', 'kuchenka'];['balkon', 'piwnica'];Jeżyce;
https://www.otodom.pl/oferta/jasne-3-pokojowe-58m2-w-centrum-poznania-ID3wcEM.html#af876b5410;Poznań, Łazarz, Józefa Łukaszewicza;Jasne, 3 pokojowe ,58m2 , w centrum Poznania;369000.0;6340.0;58.2;3;1;wtórny;blok;cegła;plastikowe;miejskie;;do zamieszkania;580.0;pełna własność;['telewizja kablowa', 'internet', 'telefon'];['domofon / wideofon'];['lodówka', 'kuchenka', 'pralka'];['balkon', 'piwnica', 'oddzielna kuchnia'];Łazarz;1 Marca 2018
